muncod2;ufmun;VotBol2018;Obtos_100khabit
150812;PA-ULIANÓPOLIS;0,4224;38,84478973
150815;PA-URUARÁ;0,6669;83,56055942
150820;PA-VIGIA;0,3079;154,6026897
150830;PA-VISEU;0,1693;52,11471752
150835;PA-VITÓRIA DO XINGU;0,4848;151,9756839
150840;PA-XINGUARA;0,6265;80,44512972
160005;AP-SERRA DO NAVIO;0,491;92,64406152
160010;AP-AMAPÁ;0,3528;109,7815347
160015;AP-PEDRA BRANCA DO AMAPARÍ;0,4025;54,53884378
160020;AP-CALÇOENE;0,3473;89,95232527
160021;AP-CUTIAS;0,2898;100,2841384
160023;AP-FERREIRA GOMES;0,4363;77,12082262
160025;AP-ITAUBAL;0,3307;54,5157187
160027;AP-LARANJAL DO JARI;0,4109;182,5034715
160030;AP-MACAPÁ;0,5515;250,5329537
160040;AP-MAZAGÃO;0,3059;73,96449704
160050;AP-OIAPOQUE;0,3285;146,6813348
160053;AP-PORTO GRANDE;0,4122;100,1319922
160055;AP-PRACUÚBA;0,3419;117,1875
160060;AP-SANTANA;0,5315;112,8835569
160070;AP-TARTARUGALZINHO;0,3631;75,07941092
160080;AP-VITÓRIA DO JARI;0,2718;169,4808863
170025;TO-ABREULÂNDIA;0,3877;232,6483133
170030;TO-AGUIARNÓPOLIS;0,3398;178,2266449
170035;TO-ALIANÇA DO TOCANTINS;0,4561;371,0575139
170040;TO-ALMAS;0,3158;56,69737775
170070;TO-ALVORADA;0,5585;213,9800285
170100;TO-ANANÁS;0,3633;230,3906168
170105;TO-ANGICO;0,4471;87,38712496
170110;TO-APARECIDA DO RIO NEGRO;0,4756;104,2752868
170130;TO-ARAGOMINAS;0,3442;156,3042723
170190;TO-ARAGUACEMA;0,3319;155,235676
170200;TO-ARAGUAÇU;0,6764;211,3420218
170210;TO-ARAGUAÍNA;0,5972;214,9941819
170215;TO-ARAGUANÃ;0,4475;209,4606389
170220;TO-ARAGUATINS;0,4001;142,6134616
170230;TO-ARAPOEMA;0,4334;90,32063827
170240;TO-ARRAIAS;0,2665;37,85369547
170255;TO-AUGUSTINÓPOLIS;0,3616;141,2122529
170270;TO-AURORA DO TOCANTINS;0,3868;79,8509449
170290;TO-AXIXÁ DO TOCANTINS;0,3474;174,2517425
170300;TO-BABAÇULÂNDIA;0,2781;46,88672168
170305;TO-BANDEIRANTES DO TOCANTINS;0,5041;168,8713763
170307;TO-BARRA DO OURO;0,2697;130,6904814
170310;TO-BARROLÂNDIA;0,4928;355,1136364
170320;TO-BERNARDO SAYÃO;0,5074;134,5593182
170330;TO-BOM JESUS DO TOCANTINS;0,4108;61,29955047
170360;TO-BRASILÂNDIA DO TOCANTINS;0,456;181,7355747
170370;TO-BREJINHO DE NAZARÉ;0,424;200,1091504
170380;TO-BURITI DO TOCANTINS;0,3378;70,49700388
170382;TO-CACHOEIRINHA;0,3062;87,91208791
170384;TO-CAMPOS LINDOS;0,2946;29,65599051
170386;TO-CARIRI DO TOCANTINS;0,5271;273,8475582
170388;TO-CARMOLÂNDIA;0,369;155,0387597
170389;TO-CARRASCO BONITO;0,2698;73,26007326
170390;TO-CASEARA;0,3491;223,5053083
170410;TO-CENTENÁRIO;0,2962;206,5404475
170460;TO-CHAPADA DE AREIA;0,506;213,371266
170510;TO-CHAPADA DA NATIVIDADE;0,2442;30,0030003
170550;TO-COLINAS DO TOCANTINS;0,5761;290,7633243
170555;TO-COMBINADO;0,5209;185,4905194
170560;TO-CONCEIÇÃO DO TOCANTINS;0,249;194,8842875
170600;TO-COUTO DE MAGALHÃES;0,3526;107,372942
170610;TO-CRISTALÂNDIA;0,469;123,4737275
170625;TO-CRIXÁS DO TOCANTINS;0,4121;0
170650;TO-DARCINÓPOLIS;0,3533;114,8105626
170700;TO-DIANÓPOLIS;0,3665;117,4398121
170710;TO-DIVINÓPOLIS DO TOCANTINS;0,3767;115,942029
170720;TO-DOIS IRMÃOS DO TOCANTINS;0,3296;222,2839678
170730;TO-DUERÉ;0,4393;192,0614597
170740;TO-ESPERANTINA;0,2551;136,4132412
170755;TO-FÁTIMA;0,5358;208,6049544
170765;TO-FIGUEIRÓPOLIS;0,5026;247,0074102
170770;TO-FILADÉLFIA;0,3571;56,45889792
170820;TO-FORMOSO DO ARAGUAIA;0,5431;233,1887202
170825;TO-FORTALEZA DO TABOCÃO;0,4705;270,374662
170830;TO-GOIANORTE;0,4055;117,1188757
170900;TO-GOIATINS;0,2692;69,12973347
170930;TO-GUARAÍ;0,5686;246,8850056
170950;TO-GURUPI;0,6268;201,9689083
170980;TO-IPUEIRAS;0,2709;198,5111663
171050;TO-ITACAJÁ;0,374;121,0816629
171070;TO-ITAGUATINS;0,2861;204,638472
171090;TO-ITAPIRATINS;0,339;79,42811755
171110;TO-ITAPORÃ DO TOCANTINS;0,4541;123,6093943
171150;TO-JAÚ DO TOCANTINS;0,4273;207,8461938
171180;TO-JUARINA;0,3821;91,19927041
171190;TO-LAGOA DA CONFUSÃO;0,4412;157,2209328
171195;TO-LAGOA DO TOCANTINS;0,3044;139,0176089
171200;TO-LAJEADO;0,5014;95,72431398
171215;TO-LAVANDEIRA;0,3782;0
171240;TO-LIZARDA;0,199;80,21390374
171245;TO-LUZINÓPOLIS;0,3505;64,35006435
171250;TO-MARIANÓPOLIS DO TOCANTINS;0,3667;154,589372
171270;TO-MATEIROS;0,3165;0
171280;TO-MAURILÂNDIA DO TOCANTINS;0,2293;87,56567426
